source_id,target_id,type
BS6051,BS6051_CLO1,CO_CLO
BS6051,BS6051_CLO2,CO_CLO
BS6051,BS6051_CLO3,CO_CLO
BS6051,BS6051_CLO4,CO_CLO
BS6051,BS6051_CLO5,CO_CLO
BS6051,BS6051_CLO1,CO_CLO
BS6051,BS6051_CLO2,CO_CLO
BS6051,BS6051_CLO3,CO_CLO
BS6051,BS6051_CLO4,CO_CLO
BS6051,BS6051_CLO5,CO_CLO
BS6052,BS6052_CLO1,CO_CLO
BS6052,BS6052_CLO2,CO_CLO
BS6052,BS6052_CLO3,CO_CLO
BS6052,BS6052_CLO4,CO_CLO
BS6052,BS6052_CLO5,CO_CLO
BS6052,BS6052_CLO1,CO_CLO
BS6052,BS6052_CLO2,CO_CLO
BS6052,BS6052_CLO3,CO_CLO
BS6052,BS6052_CLO4,CO_CLO
BS6052,BS6052_CLO5,CO_CLO
BS6054,BS6054_CLO1,CO_CLO
BS6054,BS6054_CLO2,CO_CLO
BS6054,BS6054_CLO3,CO_CLO
BS6054,BS6054_CLO4,CO_CLO
BS6054,BS6054_CLO5,CO_CLO
BS6054,BS6054_CLO1,CO_CLO
BS6054,BS6054_CLO2,CO_CLO
BS6054,BS6054_CLO3,CO_CLO
BS6054,BS6054_CLO4,CO_CLO
BS6054,BS6054_CLO5,CO_CLO
IT6202,IT6202_CLO1,CO_CLO
IT6202,IT6202_CLO2,CO_CLO
IT6202,IT6202_CLO3,CO_CLO
IT6202,IT6202_CLO4,CO_CLO
IT6202,IT6202_CLO5,CO_CLO
IT6203,IT6203_CLO1,CO_CLO
IT6203,IT6203_CLO2,CO_CLO
IT6203,IT6203_CLO3,CO_CLO
IT6203,IT6203_CLO4,CO_CLO
IT6203,IT6203_CLO5,CO_CLO
IT6204,IT6204_L1,CO_CLO
IT6204,IT6204_L2,CO_CLO
IT6204,IT6204_L3,CO_CLO
IT6204,IT6204_L1,CO_CLO
IT6204,IT6204_L2,CO_CLO
IT6204,IT6204_L3,CO_CLO
IT6205,IT6205_L1,CO_CLO
IT6205,IT6205_L2,CO_CLO
IT6205,IT6205_L1,CO_CLO
IT6205,IT6205_L2,CO_CLO
IT6206,IT6206_L1,CO_CLO
IT6206,IT6206_L2,CO_CLO
IT6206,IT6206_L3,CO_CLO
IT6206,IT6206_L1,CO_CLO
IT6206,IT6206_L2,CO_CLO
IT6206,IT6206_L3,CO_CLO
IT6207,IT6207_L1,CO_CLO
IT6207,IT6207_L2,CO_CLO
IT6207,IT6207_L3,CO_CLO
IT6207,IT6207_L1,CO_CLO
IT6207,IT6207_L2,CO_CLO
IT6207,IT6207_L3,CO_CLO
IT6208,IT6208_L1,CO_CLO
IT6208,IT6208_L2,CO_CLO
IT6208,IT6208_L3,CO_CLO
IT6208,IT6208_L1,CO_CLO
IT6208,IT6208_L2,CO_CLO
IT6208,IT6208_L3,CO_CLO
IT6217,IT6217_L1,CO_CLO
IT6217,IT6217_L2,CO_CLO
IT6217,IT6217_L3,CO_CLO
IT6217,IT6217_L4,CO_CLO
IT6218,IT6218_L1,CO_CLO
IT6218,IT6218_L2,CO_CLO
IT6218,IT6218_L3,CO_CLO
IT6218,IT6218_L1,CO_CLO
IT6218,IT6218_L2,CO_CLO
IT6218,IT6218_L3,CO_CLO
LP6010,LP6010_CLO1,CO_CLO
LP6010,LP6010_CLO2,CO_CLO
LP6010,LP6010_CLO3,CO_CLO
LP6010,LP6010_CLO4,CO_CLO
LP6010,LP6010_CLO5,CO_CLO
LP6010,LP6010_CLO1,CO_CLO
LP6010,LP6010_CLO2,CO_CLO
LP6010,LP6010_CLO3,CO_CLO
LP6010,LP6010_CLO4,CO_CLO
LP6010,LP6010_CLO5,CO_CLO
LP6021,LP6021_CLO1,CO_CLO
LP6021,LP6021_CLO2,CO_CLO
LP6021,LP6021_CLO3,CO_CLO
LP6021,LP6021_CLO4,CO_CLO
LP6021,LP6021_CLO5,CO_CLO
LP6021,LP6021_CLO6,CO_CLO
LP6021,LP6021_CLO1,CO_CLO
LP6021,LP6021_CLO2,CO_CLO
LP6021,LP6021_CLO3,CO_CLO
LP6021,LP6021_CLO4,CO_CLO
LP6021,LP6021_CLO5,CO_CLO
LP6021,LP6021_CLO6,CO_CLO
LP6022,LP6022_CLO1,CO_CLO
LP6022,LP6022_CLO2,CO_CLO
LP6022,LP6022_CLO3,CO_CLO
LP6022,LP6022_CLO4,CO_CLO
LP6022,LP6022_CLO5,CO_CLO
LP6022,LP6022_CLO1,CO_CLO
LP6022,LP6022_CLO2,CO_CLO
LP6022,LP6022_CLO3,CO_CLO
LP6022,LP6022_CLO4,CO_CLO
LP6022,LP6022_CLO5,CO_CLO
LP6025,LP6025_CLO1,CO_CLO
LP6025,LP6025_CLO2,CO_CLO
LP6025,LP6025_CLO3,CO_CLO
LP6025,LP6025_CLO4,CO_CLO
LP6025,LP6025_CLO5,CO_CLO
LP6025,LP6025_CLO1,CO_CLO
LP6025,LP6025_CLO2,CO_CLO
LP6025,LP6025_CLO3,CO_CLO
LP6025,LP6025_CLO4,CO_CLO
LP6025,LP6025_CLO5,CO_CLO
LP6026,LP6026_CLO1,CO_CLO
LP6026,LP6026_CLO2,CO_CLO
LP6026,LP6026_CLO3,CO_CLO
LP6026,LP6026_CLO4,CO_CLO
LP6026,LP6026_CLO5,CO_CLO
LP6026,LP6026_CLO6,CO_CLO
LP6026,LP6026_CLO1,CO_CLO
LP6026,LP6026_CLO2,CO_CLO
LP6026,LP6026_CLO3,CO_CLO
LP6026,LP6026_CLO4,CO_CLO
LP6026,LP6026_CLO5,CO_CLO
LP6026,LP6026_CLO6,CO_CLO
LP6027,LP6027_CLO1,CO_CLO
LP6027,LP6027_CLO2,CO_CLO
LP6027,LP6027_CLO3,CO_CLO
LP6027,LP6027_CLO4,CO_CLO
LP6027,LP6027_CLO5,CO_CLO
LP6027,LP6027_CLO1,CO_CLO
LP6027,LP6027_CLO2,CO_CLO
LP6027,LP6027_CLO3,CO_CLO
LP6027,LP6027_CLO4,CO_CLO
LP6027,LP6027_CLO5,CO_CLO
SC6013,SC6013_L1,CO_CLO
SC6013,SC6013_L2,CO_CLO
